stem,gan_edge_iou,gan_chamfer,gan_sketch_lpips,gan_psnr,gan_ssim,gan_lpips,gan_bnd_lpips,gan_face_lpips,gan_arcface_cos,dit_edge_iou,dit_chamfer,dit_sketch_lpips,dit_psnr,dit_ssim,dit_lpips,dit_bnd_lpips,dit_face_lpips,dit_arcface_cos
braid_4106,0.1159042927515834,1.9494232414144526,0.979988157749176,11.402501454019829,0.46483957829656614,0.444350928068161,0.034809187054634094,0.006510182283818722,0.7164837121963501,0.10551239363669997,1.9796902871468978,0.9026719331741333,12.403737229904898,0.46490606012147656,0.4095544219017029,0.033147647976875305,0.0,0.6836706399917603
braid_4108,0.113864906043677,1.940842095092663,0.8135183453559875,10.231583418507636,0.5314911652505834,0.36445972323417664,0.059208136051893234,0.002430118853226304,0.7083720564842224,0.11201801294680552,1.9065955755430752,0.8725764751434326,13.702727363810247,0.5329361650912517,0.36993640661239624,0.04117486625909805,0.0,0.7690625786781311
braid_4124,0.09793081661664824,2.298426501444434,0.911723792552948,9.896885668701303,0.428168471419901,0.41846564412117004,0.025518596172332764,0.004031771793961525,0.7836534976959229,0.09896688741721854,2.411944962297367,0.8918731212615967,11.482875949434781,0.4273186934496687,0.4030095338821411,0.030352575704455376,0.0,0.7425583004951477
braid_4125,0.10445671618573539,2.1749893590806373,0.768459677696228,11.792815536325465,0.633093948566589,0.3360768258571625,0.03723917528986931,0.005070019979029894,0.7161515951156616,0.11103000811030009,2.1290638907695656,0.7702302932739258,14.419599825736018,0.6458006785665935,0.30122900009155273,0.03237998113036156,0.0,0.7659879922866821
braid_4126,0.1075511189824505,2.030533655262838,0.941277801990509,9.792719698354698,0.49483544466781,0.476095050573349,0.028371257707476616,0.00518332002684474,0.762040913105011,0.10831692167853356,2.012110862009659,1.002844214439392,11.126802494014122,0.48222448653987476,0.428265243768692,0.031101441010832787,0.0,0.826502799987793
braid_4129,0.10437080969571945,2.368767456928979,0.5915677547454834,11.032763769978754,0.694578404313465,0.25453996658325195,0.03111443668603897,0.0034147556871175766,0.7071376442909241,0.11110427182075588,2.2419281025424285,0.6177183389663696,12.146865192505148,0.6941608919925478,0.25367259979248047,0.020238172262907028,0.0,0.7392582893371582
braid_4130,0.10942480942480942,2.478899087320214,0.8145386576652527,12.787366225570892,0.5700561994458085,0.3079722821712494,0.02408597432076931,0.006033443845808506,0.7620810270309448,0.11665984445354073,2.4020489587325575,0.8317484259605408,13.958392892561644,0.5801225987566655,0.3039310872554779,0.020632155239582062,0.0,0.8857495188713074
braid_4132,0.10695478481932086,2.5141926814011315,0.7486727237701416,10.81755729918812,0.6142397666787295,0.305154025554657,0.021119283512234688,0.0025268790777772665,0.6429599523544312,0.10732027369013028,2.4981836213251163,0.76490718126297,12.50320557160498,0.60303955106416,0.31716492772102356,0.02311837114393711,0.0,0.7284818887710571
braid_4133,0.07291592383940669,3.7430743922801826,0.9969359636306763,7.637260905036166,0.3517937303529591,0.46083006262779236,0.00909534003585577,0.005816133692860603,0.5034835338592529,0.07235509435303315,3.7434084334430664,1.0131524801254272,8.185607000202337,0.36610675819949456,0.4760054349899292,0.013660485856235027,0.0,0.44300559163093567
braid_4135,0.0869830425765524,3.004116101358764,0.8757485747337341,11.169611256679016,0.5108338845432551,0.35035771131515503,0.04931230470538139,0.001846212544478476,0.8228549957275391,0.08664710656095886,3.052278295449271,0.8605884909629822,13.118127494799284,0.554407892658673,0.3393821716308594,0.0231234859675169,0.0,0.785100519657135
